#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	6	0	143.051	-1.77864e-321	2.09298e-313
0	0	6	1	108576	-1.77864e-321	2.09298e-313
0	0	6	2	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	3	286.102	-1.77864e-321	2.09298e-313
0	0	6	4	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	5	286.102	-1.77864e-321	2.09298e-313
0	0	6	6	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	7	238.419	-1.77864e-321	2.09298e-313
0	0	6	8	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	9	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	10	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	11	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	12	238.419	-1.77864e-321	2.09298e-313
0	0	6	13	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	14	286.102	-1.77864e-321	2.09298e-313
0	0	6	15	286.102	-1.77864e-321	2.09298e-313
0	0	6	16	286.102	-1.77864e-321	2.09298e-313
0	0	6	17	286.102	-1.77864e-321	2.09298e-313
0	0	6	18	286.102	-1.77864e-321	2.09298e-313
0	0	6	19	286.102	-1.77864e-321	2.09298e-313
0	0	6	20	286.102	-1.77864e-321	2.09298e-313
0	0	6	21	286.102	-1.77864e-321	2.09298e-313
0	0	6	22	238.419	-1.77864e-321	2.09298e-313
0	0	6	23	286.102	-1.77864e-321	2.09298e-313
0	0	6	24	238.419	-1.77864e-321	2.09298e-313
0	0	6	25	286.102	-1.77864e-321	2.09298e-313
0	0	6	26	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	27	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	28	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	29	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	30	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	31	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	32	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	33	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	34	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	35	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	36	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	37	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	38	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	39	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	40	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	41	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	42	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	43	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	44	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	45	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	46	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	47	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	48	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	49	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	50	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	51	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	52	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	53	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	54	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	55	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	56	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	57	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	58	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	59	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	60	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	61	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	62	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	6	63	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	0	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	1	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	2	190.735	-1.77864e-321	2.09298e-313
0	0	7	3	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	4	190.735	-1.77864e-321	2.09298e-313
0	0	7	5	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	6	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	7	95.3674	-1.77864e-321	2.09298e-313
0	0	7	8	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	9	47.6837	-1.77864e-321	2.09298e-313
0	0	7	10	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	11	190.735	-1.77864e-321	2.09298e-313
0	0	7	12	190.735	-1.77864e-321	2.09298e-313
0	0	7	13	190.735	-1.77864e-321	2.09298e-313
0	0	7	14	143.051	-1.77864e-321	2.09298e-313
0	0	7	15	143.051	-1.77864e-321	2.09298e-313
0	0	7	16	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	17	95.3674	-1.77864e-321	2.09298e-313
0	0	7	18	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	19	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	20	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	21	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	22	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	23	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	24	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	25	47.6837	-1.77864e-321	2.09298e-313
0	0	7	26	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	27	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	28	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	29	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	30	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	31	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	32	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	33	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	34	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	35	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	36	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	37	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	38	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	39	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	40	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	41	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	42	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	43	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	44	-3.04159e-314	-1.77864e-321	2.09298e-313
0	0	7	45	-3.04159e-314	-1.77864e-321	2.09298e-313
